anomaly_type,entity_type,entity_id,service_month,metric,metric_value,severity,rationale
High billed claim,claim,CLM0004040,2024-04-01,billed_amount,26764.97,High,Claim billed amount z-score 6.77.
High billed claim,claim,CLM0003676,2025-11-01,billed_amount,26693.26,High,Claim billed amount z-score 6.75.
High billed claim,claim,CLM0008428,2024-10-01,billed_amount,26359.69,High,Claim billed amount z-score 6.66.
High billed claim,claim,CLM0006899,2025-12-01,billed_amount,26306.84,High,Claim billed amount z-score 6.65.
High billed claim,claim,CLM0002957,2025-03-01,billed_amount,26289.88,High,Claim billed amount z-score 6.64.
High billed claim,claim,CLM0018129,2024-12-01,billed_amount,25937.73,High,Claim billed amount z-score 6.54.
High billed claim,claim,CLM0006245,2025-01-01,billed_amount,25870.1,High,Claim billed amount z-score 6.53.
High billed claim,claim,CLM0008413,2025-02-01,billed_amount,25852.8,High,Claim billed amount z-score 6.52.
High billed claim,claim,CLM0018558,2024-07-01,billed_amount,25786.72,High,Claim billed amount z-score 6.50.
High billed claim,claim,CLM0004033,2025-02-01,billed_amount,25664.45,High,Claim billed amount z-score 6.47.
High billed claim,claim,CLM0003355,2025-05-01,billed_amount,25656.62,High,Claim billed amount z-score 6.47.
High billed claim,claim,CLM0016243,2025-05-01,billed_amount,25456.03,High,Claim billed amount z-score 6.41.
High billed claim,claim,CLM0003546,2025-09-01,billed_amount,25157.22,High,Claim billed amount z-score 6.33.
High billed claim,claim,CLM0011105,2025-09-01,billed_amount,24832.38,High,Claim billed amount z-score 6.24.
High billed claim,claim,CLM0017852,2025-02-01,billed_amount,24634.55,High,Claim billed amount z-score 6.19.
High billed claim,claim,CLM0017573,2024-12-01,billed_amount,24620.3,High,Claim billed amount z-score 6.18.
High billed claim,claim,CLM0009015,2024-05-01,billed_amount,24584.39,High,Claim billed amount z-score 6.17.
High billed claim,claim,CLM0017513,2025-11-01,billed_amount,24538.96,High,Claim billed amount z-score 6.16.
High billed claim,claim,CLM0004117,2024-12-01,billed_amount,24538.07,High,Claim billed amount z-score 6.16.
High billed claim,claim,CLM0013753,2024-04-01,billed_amount,24529.54,High,Claim billed amount z-score 6.16.
High billed claim,claim,CLM0002484,2025-07-01,billed_amount,24515.67,High,Claim billed amount z-score 6.15.
High billed claim,claim,CLM0005941,2025-08-01,billed_amount,24439.79,High,Claim billed amount z-score 6.13.
High billed claim,claim,CLM0007139,2025-11-01,billed_amount,24307.12,High,Claim billed amount z-score 6.10.
High billed claim,claim,CLM0005414,2025-11-01,billed_amount,24184.93,High,Claim billed amount z-score 6.06.
High billed claim,claim,CLM0009749,2024-11-01,billed_amount,24098.28,High,Claim billed amount z-score 6.04.
High billed claim,claim,CLM0007911,2025-08-01,billed_amount,24090.8,High,Claim billed amount z-score 6.04.
High billed claim,claim,CLM0003648,2024-11-01,billed_amount,24056.5,High,Claim billed amount z-score 6.03.
High billed claim,claim,CLM0018552,2025-04-01,billed_amount,23917.46,High,Claim billed amount z-score 5.99.
High billed claim,claim,CLM0011735,2025-07-01,billed_amount,23832.05,High,Claim billed amount z-score 5.97.
High billed claim,claim,CLM0014263,2025-12-01,billed_amount,23822.39,High,Claim billed amount z-score 5.96.
High billed claim,claim,CLM0016273,2024-03-01,billed_amount,23635.23,High,Claim billed amount z-score 5.91.
High billed claim,claim,CLM0015223,2025-11-01,billed_amount,23588.78,High,Claim billed amount z-score 5.90.
High billed claim,claim,CLM0016758,2025-11-01,billed_amount,23514.4,High,Claim billed amount z-score 5.88.
High billed claim,claim,CLM0015192,2025-12-01,billed_amount,23419.27,High,Claim billed amount z-score 5.85.
High billed claim,claim,CLM0006721,2024-02-01,billed_amount,23419.12,High,Claim billed amount z-score 5.85.
High billed claim,claim,CLM0012330,2025-11-01,billed_amount,23415.24,High,Claim billed amount z-score 5.85.
High billed claim,claim,CLM0017387,2024-02-01,billed_amount,23391.94,High,Claim billed amount z-score 5.85.
High billed claim,claim,CLM0014601,2025-04-01,billed_amount,23230.0,High,Claim billed amount z-score 5.80.
High billed claim,claim,CLM0015454,2025-11-01,billed_amount,23157.02,High,Claim billed amount z-score 5.78.
High billed claim,claim,CLM0017836,2025-04-01,billed_amount,22887.04,High,Claim billed amount z-score 5.71.
High billed claim,claim,CLM0011861,2025-11-01,billed_amount,22821.0,High,Claim billed amount z-score 5.69.
High billed claim,claim,CLM0007420,2024-08-01,billed_amount,22806.34,High,Claim billed amount z-score 5.69.
High billed claim,claim,CLM0003484,2025-03-01,billed_amount,22543.15,High,Claim billed amount z-score 5.61.
High billed claim,claim,CLM0014739,2025-04-01,billed_amount,22287.47,High,Claim billed amount z-score 5.54.
High billed claim,claim,CLM0003742,2025-07-01,billed_amount,22122.92,High,Claim billed amount z-score 5.50.
High billed claim,claim,CLM0019191,2024-06-01,billed_amount,22112.05,High,Claim billed amount z-score 5.50.
High billed claim,claim,CLM0002889,2025-07-01,billed_amount,22054.04,High,Claim billed amount z-score 5.48.
High billed claim,claim,CLM0015634,2025-12-01,billed_amount,21982.92,High,Claim billed amount z-score 5.46.
High billed claim,claim,CLM0010343,2024-01-01,billed_amount,21982.83,High,Claim billed amount z-score 5.46.
High billed claim,claim,CLM0009653,2024-06-01,billed_amount,21963.34,High,Claim billed amount z-score 5.46.
High billed claim,claim,CLM0003748,2025-12-01,billed_amount,21936.15,High,Claim billed amount z-score 5.45.
High billed claim,claim,CLM0006846,2025-06-01,billed_amount,21919.44,High,Claim billed amount z-score 5.44.
High billed claim,claim,CLM0002094,2025-04-01,billed_amount,21914.33,High,Claim billed amount z-score 5.44.
High billed claim,claim,CLM0009230,2024-10-01,billed_amount,21907.02,High,Claim billed amount z-score 5.44.
High billed claim,claim,CLM0016394,2025-11-01,billed_amount,21876.69,High,Claim billed amount z-score 5.43.
High billed claim,claim,CLM0001315,2024-06-01,billed_amount,21857.34,High,Claim billed amount z-score 5.43.
High billed claim,claim,CLM0016397,2025-01-01,billed_amount,21831.4,High,Claim billed amount z-score 5.42.
High billed claim,claim,CLM0015204,2025-09-01,billed_amount,21746.19,High,Claim billed amount z-score 5.40.
High billed claim,claim,CLM0019414,2024-06-01,billed_amount,21592.87,High,Claim billed amount z-score 5.35.
High billed claim,claim,CLM0010779,2025-04-01,billed_amount,21541.43,High,Claim billed amount z-score 5.34.
High billed claim,claim,CLM0006619,2024-10-01,billed_amount,21473.78,High,Claim billed amount z-score 5.32.
High billed claim,claim,CLM0007450,2025-04-01,billed_amount,21277.48,High,Claim billed amount z-score 5.27.
High billed claim,claim,CLM0017576,2025-04-01,billed_amount,21271.39,High,Claim billed amount z-score 5.27.
High billed claim,claim,CLM0000258,2025-05-01,billed_amount,21257.88,High,Claim billed amount z-score 5.26.
High billed claim,claim,CLM0014757,2025-02-01,billed_amount,21252.89,High,Claim billed amount z-score 5.26.
High billed claim,claim,CLM0015076,2025-09-01,billed_amount,21187.08,High,Claim billed amount z-score 5.24.
High billed claim,claim,CLM0007149,2025-01-01,billed_amount,21159.33,High,Claim billed amount z-score 5.23.
High billed claim,claim,CLM0016496,2024-12-01,billed_amount,21085.89,High,Claim billed amount z-score 5.21.
High billed claim,claim,CLM0006658,2025-04-01,billed_amount,21075.19,High,Claim billed amount z-score 5.21.
High billed claim,claim,CLM0013240,2025-03-01,billed_amount,21063.42,High,Claim billed amount z-score 5.21.
High billed claim,claim,CLM0010660,2025-07-01,billed_amount,21038.69,High,Claim billed amount z-score 5.20.
High billed claim,claim,CLM0016224,2025-11-01,billed_amount,21028.42,High,Claim billed amount z-score 5.20.
High billed claim,claim,CLM0007095,2024-04-01,billed_amount,20953.39,High,Claim billed amount z-score 5.18.
High billed claim,claim,CLM0019201,2025-11-01,billed_amount,20947.92,High,Claim billed amount z-score 5.18.
High billed claim,claim,CLM0017529,2025-05-01,billed_amount,20904.23,High,Claim billed amount z-score 5.16.
High billed claim,claim,CLM0015333,2024-01-01,billed_amount,20838.19,High,Claim billed amount z-score 5.15.
High billed claim,claim,CLM0008276,2025-05-01,billed_amount,20805.75,High,Claim billed amount z-score 5.14.
High billed claim,claim,CLM0000349,2025-09-01,billed_amount,20793.34,High,Claim billed amount z-score 5.13.
High billed claim,claim,CLM0018500,2024-02-01,billed_amount,20713.27,High,Claim billed amount z-score 5.11.
High billed claim,claim,CLM0008365,2025-11-01,billed_amount,20639.1,High,Claim billed amount z-score 5.09.
High billed claim,claim,CLM0018163,2025-12-01,billed_amount,20596.49,High,Claim billed amount z-score 5.08.
High billed claim,claim,CLM0012286,2025-01-01,billed_amount,20564.77,High,Claim billed amount z-score 5.07.
High billed claim,claim,CLM0015652,2025-08-01,billed_amount,20557.56,High,Claim billed amount z-score 5.07.
High billed claim,claim,CLM0005669,2025-08-01,billed_amount,20543.03,High,Claim billed amount z-score 5.07.
High billed claim,claim,CLM0001541,2025-11-01,billed_amount,20488.82,High,Claim billed amount z-score 5.05.
High billed claim,claim,CLM0007463,2024-06-01,billed_amount,20487.66,High,Claim billed amount z-score 5.05.
High billed claim,claim,CLM0000014,2024-04-01,billed_amount,20459.0,High,Claim billed amount z-score 5.04.
High billed claim,claim,CLM0009372,2025-02-01,billed_amount,20447.27,High,Claim billed amount z-score 5.04.
High billed claim,claim,CLM0019087,2024-04-01,billed_amount,20411.23,High,Claim billed amount z-score 5.03.
High billed claim,claim,CLM0017508,2024-02-01,billed_amount,20407.19,High,Claim billed amount z-score 5.03.
High billed claim,claim,CLM0006150,2024-02-01,billed_amount,20395.0,High,Claim billed amount z-score 5.03.
High billed claim,claim,CLM0014527,2025-06-01,billed_amount,20362.05,High,Claim billed amount z-score 5.02.
High billed claim,claim,CLM0017680,2025-06-01,billed_amount,20357.28,High,Claim billed amount z-score 5.01.
High billed claim,claim,CLM0002627,2025-11-01,billed_amount,20320.67,High,Claim billed amount z-score 5.00.
High billed claim,claim,CLM0012447,2025-09-01,billed_amount,20319.98,High,Claim billed amount z-score 5.00.
Provider financial risk,provider,PRV004,,composite_provider_risk,0.8999999999999999,High,"Denial rate 4.3%, benchmark variance 23.9%, PMPM contribution $92.87."
Provider financial risk,provider,PRV017,,composite_provider_risk,0.8250000000000001,High,"Denial rate 10.5%, benchmark variance 14.2%, PMPM contribution $71.28."
Provider financial risk,provider,PRV012,,composite_provider_risk,0.78125,High,"Denial rate 4.5%, benchmark variance 16.5%, PMPM contribution $66.11."
High billed claim,claim,CLM0003028,2025-05-01,billed_amount,20260.58,Medium,Claim billed amount z-score 4.99.
High billed claim,claim,CLM0016383,2025-06-01,billed_amount,20237.65,Medium,Claim billed amount z-score 4.98.
Provider financial risk,provider,PRV023,,composite_provider_risk,0.5575,Medium,"Denial rate 8.2%, benchmark variance 17.9%, PMPM contribution $50.65."
