provider_identifier,provider_reference,provider_role_code,provider_role_display,provider_source,claim_type_code,claim_count,claim_line_count,patient_count,service_count,total_submitted_amount,total_allowed_amount,total_provider_paid_amount,total_covered_paid_amount,avg_provider_paid_amount,avg_covered_paid_amount
0010000742,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000778,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000927,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001111,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001112,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001185,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001258,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001295,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001297,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001031,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008890033,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000481,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000556,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000668,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000705,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000852,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001073,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001221,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0008889589,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000075,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000069,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000106,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008888997,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000143,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889071,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000217,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889219,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000476,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000587,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889478,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889515,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889552,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000698,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889663,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889700,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889774,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000920,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889811,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889848,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008890070,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008890144,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010001290,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010001327,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000150,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000185,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000296,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000333,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000334,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000335,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000370,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000444,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000482,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000483,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000518,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000704,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000777,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000853,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000926,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000962,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001036,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001110,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001260,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000291,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889737,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008890218,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000187,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000260,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000297,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000372,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000666,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000888,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0008888923,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889182,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000328,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000365,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000439,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000624,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000772,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889922,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010001105,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010001142,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010001253,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000037,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000039,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000113,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000148,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000222,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000224,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000261,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000407,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000519,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000594,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000629,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000630,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000741,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000779,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000816,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000889,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000963,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001000,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001001,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001038,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001074,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001149,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001184,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001186,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001222,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0008889034,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000402,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000550,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000994,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000112,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000520,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000851,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000925,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0008889256,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000111,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000149,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000814,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000032,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000180,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889145,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889293,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889330,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889367,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889404,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889441,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000957,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010001068,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889959,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889996,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010001179,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010001216,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008890181,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000038,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000076,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000186,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000298,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000409,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000445,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000446,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000555,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000631,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000667,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000815,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000890,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000964,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001037,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001075,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001147,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001148,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001223,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001259,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001296,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001332,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001334,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000661,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000809,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000999,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010001333,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
,Organization/outpatient-provider-1,,,ExplanationOfBenefit.provider.reference,OUTPATIENT,18,36,18,2,5572.599999999999,0.0,0.0,2988.9399999999996,,166.0522222222222
