provider_id,provider_name,service_category,region,payer,total_claims,total_billed,total_allowed,total_paid,medicare_benchmark_total,paid_to_billed_rate,allowed_to_billed_rate,benchmark_variance_amount,benchmark_variance_pct,benchmark_flag
PRV012,Provider Group 12,Inpatient,West,Commercial,29,312791.69,219130.44,193460.98,174128.51,0.6184978251819926,0.7005634964279263,45001.92999999999,0.2584409066614077,Above benchmark
PRV004,Provider Group 04,Outpatient,South,Commercial,51,244468.15,133211.51,110036.54,88387.31,0.45010583178217695,0.5449033340334928,44824.20000000001,0.5071338860748225,Above benchmark
PRV016,Provider Group 16,Inpatient,Northeast,Commercial,26,246032.57,180876.16999999998,142145.34,136124.99,0.5777500921930783,0.7351716482090155,44751.17999999999,0.3287506577594606,Above benchmark
PRV019,Provider Group 19,Inpatient,West,Commercial,24,239701.53,168946.22,144669.48,124860.34,0.6035400775289169,0.7048191140039866,44085.880000000005,0.35308153093288075,Above benchmark
PRV005,Provider Group 05,Inpatient,Northeast,Commercial,26,274257.75,193592.06,167172.38,150775.41,0.6095447804118571,0.7058763517165878,42816.649999999994,0.28397634601026783,Above benchmark
PRV035,Provider Group 35,Inpatient,South,Commercial,16,212837.71,155477.97,100760.64,112967.59,0.47341535482598457,0.7305001073353026,42510.380000000005,0.3763059829814906,Above benchmark
PRV030,Provider Group 30,Inpatient,South,Commercial,21,209379.65,151744.79,126531.89,109722.38,0.6043179936541111,0.7247351402106175,42022.41,0.3829885024367864,Above benchmark
PRV003,Provider Group 03,Inpatient,West,Commercial,25,224525.73,156249.01,133957.02,114373.65,0.5966221332405867,0.6959069234514904,41875.360000000015,0.3661276876273514,Above benchmark
PRV021,Provider Group 21,Inpatient,South,Commercial,31,217316.82,157611.34,133381.13,115764.66,0.6137634905572427,0.7252606586089378,41846.67999999999,0.361480610749429,Above benchmark
PRV018,Provider Group 18,Inpatient,Northeast,Commercial,22,287210.65,198574.95,168763.9,157590.35,0.5875962468661938,0.6913913185322341,40984.600000000006,0.2600704928950282,Above benchmark
PRV014,Provider Group 14,Inpatient,West,Commercial,22,202426.27,143555.3,127093.57,104661.26,0.6278511677362825,0.7091732708407856,38894.03999999999,0.37161830461433387,Above benchmark
PRV037,Provider Group 37,Inpatient,Northeast,Commercial,23,201305.15,142769.59,121539.61,103926.68000000001,0.6037580757372576,0.7092197591566832,38842.90999999999,0.3737530151064191,Above benchmark
PRV032,Provider Group 32,Inpatient,West,Commercial,24,212398.04,151669.44,124450.70999999999,114188.34,0.5859315368446902,0.7140811657207383,37481.100000000006,0.3282392930836897,Above benchmark
PRV020,Provider Group 20,Inpatient,South,Commercial,23,287412.74,203291.88999999998,174732.86,166403.82,0.6079509906206663,0.7073169059937983,36888.06999999998,0.22167802397805517,Above benchmark
PRV031,Provider Group 31,Inpatient,South,Commercial,28,234050.22,167256.9,133992.9,130900.54,0.572496364241828,0.714619708539475,36356.36,0.27774033628891065,Above benchmark
PRV013,Provider Group 13,Inpatient,South,Commercial,27,223140.61,152253.4,130878.04,116437.66,0.586527212594785,0.6823204435983212,35815.73999999999,0.30759584141419527,Above benchmark
PRV022,Provider Group 22,Inpatient,Midwest,Commercial,15,165865.15,117982.56,100251.29000000001,83963.6,0.6044144294325843,0.7113161504993665,34018.95999999999,0.405163189763183,Above benchmark
PRV007,Provider Group 07,Inpatient,South,Commercial,16,184899.56,131235.84,113569.48999999999,98416.08,0.6142226082095598,0.709768265538328,32819.759999999995,0.33347965088631853,Above benchmark
PRV015,Provider Group 15,Inpatient,Midwest,Commercial,18,189649.71,137201.93,117356.65000000001,104454.58,0.6188074318700515,0.7234491948339916,32747.34999999999,0.31350803382675985,Above benchmark
PRV033,Provider Group 33,Inpatient,Midwest,Commercial,22,213893.31,150080.27,125070.78,118008.20999999999,0.5847344173597575,0.7016594862176848,32072.059999999998,0.2717782093296729,Above benchmark
PRV027,Provider Group 27,Inpatient,South,Commercial,19,182599.74,128538.0,110546.96,96868.39,0.6054059003588943,0.7039330943187543,31669.61,0.32693441069888746,Above benchmark
PRV023,Provider Group 23,Inpatient,West,Commercial,11,113405.52,81521.92,67192.8,50967.31,0.5925002592466398,0.7188531916259455,30554.61,0.5994942640684784,Above benchmark
PRV038,Provider Group 38,Outpatient,South,Commercial,62,139118.48,101179.24,82345.37,74137.21,0.591908206587651,0.7272882797454371,27042.03,0.36475651025982764,Above benchmark
PRV008,Provider Group 08,Inpatient,South,Commercial,12,134841.33,99632.15,89509.95999999999,73170.25,0.663816946925694,0.7388843613452938,26461.899999999994,0.3616483475182877,Above benchmark
PRV028,Provider Group 28,Inpatient,Northeast,Commercial,15,139859.96,100442.75,89533.95999999999,75849.36,0.6401686372568675,0.7181665860622297,24593.39,0.3242399144831281,Above benchmark
PRV023,Provider Group 23,Outpatient,West,Commercial,61,126676.94,92910.2,74984.91,68921.9,0.5919381222817666,0.7334420929334099,23988.300000000003,0.3480504745226119,Above benchmark
PRV020,Provider Group 20,Outpatient,South,Commercial,53,127981.47,93610.53,81679.42,70015.83,0.6382128600335658,0.7314381527263283,23594.699999999997,0.33699093476432396,Above benchmark
PRV017,Provider Group 17,Outpatient,South,Commercial,51,150063.55,107547.56999999999,81973.28,84313.08,0.5462571024076134,0.7166801665027916,23234.48999999999,0.2755739678825633,Above benchmark
PRV029,Provider Group 29,Outpatient,Northeast,Commercial,62,153679.59,106186.73,90985.89,83102.52,0.5920492760294325,0.6909618251844634,23084.209999999992,0.27777990366597777,Above benchmark
PRV011,Provider Group 11,Outpatient,Midwest,Commercial,57,129331.33,92085.07,80144.21,69395.54,0.6196813254762014,0.712008992716614,22689.530000000013,0.326959484716165,Above benchmark
PRV029,Provider Group 29,Inpatient,Northeast,Medicare Advantage,12,167764.65,101232.59,90214.42,78648.88,0.5377439168501826,0.6034202676189531,22583.709999999992,0.2871459835155948,Above benchmark
PRV012,Provider Group 12,Inpatient,West,Medicare Advantage,12,233866.47,134913.75,117934.31999999999,112382.58,0.5042805837023152,0.576883680674703,22531.17,0.20048632092269103,Above benchmark
PRV018,Provider Group 18,Outpatient,Northeast,Commercial,50,129180.56999999999,93199.90000000001,80593.23,70798.08,0.6238804334119288,0.7214699548082193,22401.820000000007,0.3164184678454558,Above benchmark
PRV014,Provider Group 14,Outpatient,West,Commercial,52,113718.73,84154.82,72544.23,63463.65,0.6379268393166192,0.7400260273747342,20691.170000000006,0.3260318308196898,Above benchmark
PRV025,Provider Group 25,Outpatient,South,Commercial,46,117685.59999999999,82642.01,71691.78,62393.86,0.6091805624477421,0.7022270354231954,20248.149999999994,0.32452151541834395,Above benchmark
PRV006,Provider Group 06,Outpatient,West,Commercial,52,108693.69,79510.92,69117.76,59876.11,0.6358948711742144,0.7315136692847579,19634.809999999998,0.3279239416187858,Above benchmark
PRV024,Provider Group 24,Outpatient,West,Commercial,51,112093.16,80717.07,68835.56,61316.9,0.6140924209826897,0.7200891651194418,19400.170000000006,0.3163918919580084,Above benchmark
PRV028,Provider Group 28,Outpatient,Northeast,Commercial,54,120688.56,86872.84,72525.92,67651.09,0.6009345044799607,0.7198100631907448,19221.75,0.2841306769780058,Above benchmark
PRV007,Provider Group 07,Outpatient,South,Commercial,46,110209.12,81524.06999999999,70336.29,62318.84,0.6382075276528839,0.7397216310229134,19205.229999999996,0.3081769493783902,Above benchmark
PRV040,Provider Group 40,Outpatient,South,Commercial,52,103439.34,75135.31,63875.3,56123.53,0.6175145742422564,0.7263707405712372,19011.78,0.33874882780894217,Above benchmark
PRV012,Provider Group 12,Outpatient,West,Commercial,54,117429.63,86012.62,65545.67,67041.89,0.5581697736763711,0.7324609640684382,18970.729999999996,0.28296830533864714,Above benchmark
PRV008,Provider Group 08,Outpatient,South,Commercial,52,108766.5,78553.48,63103.34,59834.43,0.5801725715178846,0.7222212721747965,18719.049999999996,0.31284746925808427,Above benchmark
PRV002,Provider Group 02,Outpatient,Midwest,Commercial,49,108196.75,78465.63,67872.36,59802.07,0.6273049791236798,0.7252124486179113,18663.560000000005,0.3120888624758308,Above benchmark
PRV001,Provider Group 01,Outpatient,South,Commercial,53,119150.41,84864.86,73786.42,66355.23,0.6192712219790095,0.7122498361524732,18509.630000000005,0.27894756750899674,Above benchmark
PRV010,Provider Group 10,Outpatient,Midwest,Commercial,47,112197.44,81325.34,71957.23,63473.68,0.6413446688266684,0.7248413154524738,17851.659999999996,0.2812450766995075,Above benchmark
PRV022,Provider Group 22,Outpatient,Midwest,Commercial,51,93592.95,67269.07,58242.89,49801.77,0.6222999702434853,0.7187407812233721,17467.30000000001,0.35073653004702465,Above benchmark
PRV021,Provider Group 21,Outpatient,South,Commercial,61,93104.5,67642.52,57634.89,50905.24,0.6190344183149042,0.7265225633562288,16737.280000000006,0.3287928708321581,Above benchmark
PRV003,Provider Group 03,Outpatient,West,Commercial,48,99243.29,71404.56999999999,58983.5,55116.87,0.5943323724959139,0.7194901539439089,16287.69999999999,0.2955120637293081,Above benchmark
PRV034,Provider Group 34,Outpatient,Midwest,Commercial,51,99410.29,72570.62,56782.08,56338.38,0.5711891595930362,0.7300111487452657,16232.239999999998,0.28812046068772296,Above benchmark
PRV033,Provider Group 33,Outpatient,Midwest,Commercial,52,91210.84,64431.22,55646.02,48337.49,0.6100812140311392,0.7063987131354125,16093.730000000003,0.33294509086011714,Above benchmark
PRV030,Provider Group 30,Outpatient,South,Commercial,57,108518.04,77445.49,61905.61,61517.18,0.5704637680518373,0.7136646588898953,15928.310000000005,0.2589245800929107,Above benchmark
PRV015,Provider Group 15,Outpatient,Midwest,Commercial,50,92855.4,66599.13,57036.78,50881.43,0.6142537752247043,0.7172348619466397,15717.700000000004,0.3089083777716154,Above benchmark
PRV027,Provider Group 27,Outpatient,South,Commercial,55,104673.04,75241.17,63037.59,59535.06,0.602233297131716,0.7188209112871854,15706.11,0.2638127852730811,Above benchmark
PRV032,Provider Group 32,Outpatient,West,Commercial,55,88532.53,64494.21,53724.14,48875.24,0.6068293767274018,0.7284803676117694,15618.970000000001,0.31956814943517414,Above benchmark
PRV037,Provider Group 37,Outpatient,Northeast,Commercial,45,93135.17,67543.7,56726.0,51969.0,0.6090717394943285,0.7252222763967683,15574.699999999997,0.2996921241509361,Above benchmark
PRV039,Provider Group 39,Inpatient,Northeast,Medicare Advantage,16,228900.65,134637.36,111869.05,119086.88,0.48872316439468394,0.5881912524057926,15550.479999999981,0.13058096744158534,In range
PRV036,Provider Group 36,Outpatient,Northeast,Commercial,44,106661.87,76283.5,66610.8,60992.19,0.6245043331792327,0.7151899736991298,15291.309999999998,0.25070931212668374,Above benchmark
PRV035,Provider Group 35,Outpatient,South,Commercial,44,93695.33,66954.07,57208.56,51678.76,0.6105806980988273,0.714593459460573,15275.310000000005,0.29558197603812486,Above benchmark
PRV016,Provider Group 16,Emergency,Northeast,Commercial,25,60105.82,44278.07,35186.14,29048.77,0.5854032105376817,0.7366685954870926,15229.3,0.5242666040593112,Above benchmark
PRV005,Provider Group 05,Outpatient,Northeast,Commercial,39,86403.26,62603.43,51873.67,47549.909999999996,0.6003670463359831,0.724549397788926,15053.520000000004,0.3165835645114787,Above benchmark
PRV034,Provider Group 34,Inpatient,Midwest,Exchange,7,125960.43,77140.92,64656.11,62477.3,0.5133049323505803,0.6124218534344477,14663.619999999995,0.23470316418923345,Above benchmark
PRV009,Provider Group 09,Outpatient,Northeast,Commercial,42,96050.28,69013.98,61231.53,54486.12,0.6374945497295791,0.7185193005163545,14527.859999999993,0.2666341446225202,Above benchmark
PRV017,Provider Group 17,Inpatient,South,Medicare Advantage,16,233561.58000000002,134556.18,113271.77,120132.38,0.484976039295504,0.5761057961673319,14423.799999999988,0.12006588065598957,In range
PRV039,Provider Group 39,Outpatient,Northeast,Commercial,49,101417.11,71104.62,60526.71,56850.83,0.5968096507581413,0.7011106902967359,14253.789999999994,0.2507226367671324,Above benchmark
PRV026,Provider Group 26,Outpatient,Northeast,Commercial,44,98916.88,69848.45,61982.12,55674.520000000004,0.6266081178460138,0.7061327652065046,14173.929999999993,0.2545855806210811,Above benchmark
PRV009,Provider Group 09,Emergency,Northeast,Commercial,33,86398.45,61927.4,53925.88,47929.13,0.6241533268247289,0.7167651734492922,13998.270000000004,0.2920618421406774,Above benchmark
PRV013,Provider Group 13,Outpatient,South,Commercial,48,71516.83,52369.58,45002.98,38844.31,0.6292641885833027,0.7322693133909879,13525.270000000004,0.34819179437091313,Above benchmark
PRV012,Provider Group 12,Emergency,West,Commercial,25,66299.86,47329.58,35848.99,33808.38,0.540709889885137,0.7138714923379929,13521.200000000004,0.3999363471423359,Above benchmark
PRV016,Provider Group 16,Outpatient,Northeast,Commercial,39,72281.51,52058.77,45487.39,39478.76,0.6293087955688806,0.7202225022692526,12580.009999999995,0.31865261218944047,Above benchmark
PRV007,Provider Group 07,Emergency,South,Commercial,24,72932.24,52100.98,43269.87,39917.05,0.5932886471058615,0.7143751515104979,12183.93,0.30523122324921304,Above benchmark
PRV026,Provider Group 26,Emergency,Northeast,Commercial,25,69891.63,49098.71,42044.1,36947.8,0.6015613028341161,0.7024977096685253,12150.909999999996,0.32886694201007893,Above benchmark
PRV031,Provider Group 31,Outpatient,South,Commercial,50,77532.12,55386.7,47218.89,43289.03,0.6090235891911636,0.7143710245508571,12097.669999999998,0.2794627183838492,Above benchmark
PRV039,Provider Group 39,Emergency,Northeast,Commercial,23,62555.38,44939.48,37538.81,32866.97,0.6000892329324832,0.718395124448129,12072.510000000002,0.3673143584577465,Above benchmark
PRV029,Provider Group 29,Emergency,Northeast,Commercial,29,81715.41,55069.95,46700.27,43153.9,0.5714989375932886,0.6739236822038829,11916.049999999996,0.2761291563450811,Above benchmark
PRV025,Provider Group 25,Emergency,South,Commercial,29,82960.24,60515.74,49107.62,48748.7,0.5919416337271927,0.7294547363893835,11767.04,0.24138161633028166,Above benchmark
PRV010,Provider Group 10,Inpatient,Midwest,Exchange,9,117796.45000000001,71318.15000000001,60767.01,59728.86,0.5158645273265875,0.6054354778942829,11589.290000000008,0.19403166241579042,In range
PRV009,Provider Group 09,Inpatient,Northeast,Exchange,9,103953.07,64311.81,48132.37,52787.520000000004,0.4630201878597717,0.6186619596708398,11524.289999999994,0.21831466983105083,Above benchmark
PRV019,Provider Group 19,Outpatient,West,Commercial,42,74013.12,52828.99,45864.12,41360.55,0.6196755386072091,0.713778719232482,11468.439999999995,0.2772796783408343,Above benchmark
PRV027,Provider Group 27,Emergency,South,Commercial,20,55533.41,38411.51,31795.83,27402.19,0.5725531711450819,0.6916828986370547,11009.320000000003,0.4017678878950917,Above benchmark
PRV023,Provider Group 23,Emergency,West,Commercial,19,54528.64,38415.83,28784.1,27454.85,0.5278712251029918,0.704507392812291,10960.980000000003,0.39923656475996055,Above benchmark
PRV035,Provider Group 35,Emergency,South,Commercial,19,52424.7,38944.47,31106.1,28011.05,0.5933481736662298,0.7428649090981924,10933.420000000002,0.3903252466437353,Above benchmark
PRV013,Provider Group 13,Emergency,South,Commercial,17,45646.76,31680.73,27235.670000000002,20857.34,0.5966616250529063,0.6940411542900307,10823.39,0.5189247526290505,Above benchmark
PRV020,Provider Group 20,Emergency,South,Commercial,22,64178.24,45228.24,35848.52,34444.76,0.5585774866995418,0.7047285809021874,10783.479999999996,0.3130659061058923,Above benchmark
PRV006,Provider Group 06,Emergency,West,Commercial,21,51499.16,36343.75,29193.16,25580.97,0.5668667217096356,0.7057153941928372,10762.779999999999,0.4207338502019274,Above benchmark
PRV002,Provider Group 02,Inpatient,Midwest,Exchange,9,103778.42,65729.52,58170.08,55062.97,0.5605219273910703,0.6333640462053672,10666.550000000003,0.19371548610617995,In range
PRV005,Provider Group 05,Emergency,Northeast,Commercial,19,55018.240000000005,39666.770000000004,32112.04,29156.57,0.5836617092804132,0.7209748985063863,10510.200000000004,0.3604745002584325,Above benchmark
PRV040,Provider Group 40,Emergency,South,Commercial,21,54746.95,38416.06,32870.74,28242.32,0.6004122604090274,0.7017022866114002,10173.739999999998,0.3602303210217857,Above benchmark
PRV036,Provider Group 36,Emergency,Northeast,Commercial,20,51079.88,36361.14,25710.93,26333.88,0.5033475019909992,0.7118485791274373,10027.259999999998,0.3807741206385082,Above benchmark
PRV002,Provider Group 02,Inpatient,Midwest,Medicare Advantage,14,167937.79,98422.81,83862.73,88416.78,0.4993678313856577,0.5860670787676794,10006.029999999999,0.11316890300687267,In range
PRV014,Provider Group 14,Emergency,West,Commercial,20,48230.71,35429.79,24946.93,25474.260000000002,0.5172416080957548,0.7345898494963065,9955.529999999999,0.3908074267908076,Above benchmark
PRV003,Provider Group 03,Emergency,West,Commercial,24,59451.42,43589.31,38148.89,33949.46,0.6416817293851014,0.7331920751430328,9639.849999999999,0.28394707898152133,Above benchmark
PRV016,Provider Group 16,Inpatient,Northeast,Exchange,8,75612.70999999999,51396.07,38069.850000000006,42158.68,0.5034847977277895,0.679727918758632,9237.39,0.21911003854959404,Above benchmark
PRV001,Provider Group 01,Emergency,South,Commercial,14,40001.47,29435.23,26545.3,20245.33,0.6636081124018692,0.7358537073762539,9189.899999999998,0.4539269056123065,Above benchmark
PRV033,Provider Group 33,Inpatient,Midwest,Medicare Advantage,11,86667.09,50889.47,45089.31,41708.4,0.5202587279669826,0.5871833241429937,9181.07,0.22012520259707874,Above benchmark
PRV032,Provider Group 32,Emergency,West,Commercial,25,53228.340000000004,36082.51,30359.11,26944.760000000002,0.5703561298360985,0.6778815570803072,9137.75,0.3391290180354176,Above benchmark
PRV017,Provider Group 17,Professional,South,Commercial,71,51873.88,37411.27,30034.4,28474.87,0.5789888861214932,0.7211966793307152,8936.399999999998,0.3138346197893089,Above benchmark
PRV007,Provider Group 07,Inpatient,South,Exchange,8,84979.23000000001,54450.229999999996,47528.95,45552.31,0.5593007844387387,0.6407475097150208,8897.919999999998,0.19533411148633295,In range
PRV028,Provider Group 28,Emergency,Northeast,Commercial,22,53113.73,37300.66,32051.64,28497.74,0.6034530054658183,0.7022790528927266,8802.920000000002,0.30889888110425606,Above benchmark
PRV007,Provider Group 07,Inpatient,South,Medicare Advantage,14,156350.58,92278.12,80246.47,83529.57,0.5132470247312163,0.5902000491459641,8748.549999999988,0.10473596356356184,In range
PRV023,Provider Group 23,Inpatient,West,Exchange,7,69667.42,44730.26,41000.85,36236.020000000004,0.5885225834400069,0.642054205538256,8494.239999999998,0.23441426514280533,Above benchmark
PRV022,Provider Group 22,Emergency,Midwest,Commercial,22,46928.57,33472.65,27763.94,25053.57,0.5916212661071922,0.7132680582425589,8419.080000000002,0.3360431267879189,Above benchmark
PRV019,Provider Group 19,Emergency,West,Commercial,22,48451.29,34768.770000000004,29551.54,26623.49,0.6099226666617132,0.7176025653806122,8145.2800000000025,0.3059433605436403,Above benchmark
PRV013,Provider Group 13,Inpatient,South,Medicare Advantage,8,68274.35,40007.27,35078.91,31924.97,0.5137933938587479,0.5859780429985785,8082.299999999996,0.25316546891038566,Above benchmark
PRV022,Provider Group 22,Inpatient,Midwest,Medicare Advantage,8,83457.13,47325.34,41402.05,39248.26,0.4960876320573209,0.5670616758568141,8077.0799999999945,0.20579460083071183,Above benchmark
PRV034,Provider Group 34,Emergency,Midwest,Commercial,23,55447.33,38520.52,33183.79,30515.94,0.5984740834229529,0.6947227215449328,8004.579999999998,0.2623081576382703,Above benchmark
PRV033,Provider Group 33,Emergency,Midwest,Commercial,29,53195.39,38611.82,32963.12,30625.94,0.6196612150037814,0.7258489880420089,7985.880000000001,0.26075542497634363,Above benchmark
PRV004,Provider Group 04,Professional,South,Commercial,60,41522.21,29799.760000000002,26115.67,21866.99,0.6289566475387509,0.717682416229772,7932.77,0.362773751668611,Above benchmark
PRV017,Provider Group 17,Emergency,South,Commercial,11,48779.9,31861.33,27508.7,23945.02,0.5639351454185023,0.6531651356398844,7916.310000000001,0.33060360776478787,Above benchmark
PRV004,Provider Group 04,Outpatient,South,Medicare Advantage,22,95571.91,48172.65,39771.03,40259.05,0.4161372311173858,0.504046115642138,7913.5999999999985,0.19656698307585493,In range
PRV030,Provider Group 30,Emergency,South,Commercial,19,47204.299999999996,33383.75,29124.67,25507.13,0.6169918842139381,0.7072184101872075,7876.619999999999,0.30880071572144724,Above benchmark
PRV021,Provider Group 21,Emergency,South,Commercial,26,44855.14,31773.04,26923.34,24066.18,0.6002286471516977,0.7083478058478917,7706.860000000001,0.32023611557796045,Above benchmark
PRV018,Provider Group 18,Professional,Northeast,Commercial,70,45399.07,32782.85,28291.76,25082.280000000002,0.6231792853906478,0.7221039990466764,7700.569999999996,0.3070123609177473,Above benchmark
PRV037,Provider Group 37,Emergency,Northeast,Commercial,20,45613.36,33315.46,24260.86,25793.9,0.5318805718324632,0.7303882020530826,7521.559999999998,0.2916022780579903,Above benchmark
PRV008,Provider Group 08,Emergency,South,Commercial,19,45751.29,33604.7,26690.85,26094.72,0.5833901076887668,0.7345082510241787,7509.979999999996,0.2877969183037793,Above benchmark
PRV002,Provider Group 02,Emergency,Midwest,Commercial,18,45695.86,31864.42,26398.92,24498.54,0.5777092279256808,0.6973152491276015,7365.879999999997,0.3006660805092874,Above benchmark
PRV024,Provider Group 24,Emergency,West,Commercial,14,36930.39,26431.05,21380.57,19164.99,0.578942437380163,0.7156991843303036,7266.059999999998,0.3791319484121827,Above benchmark
PRV026,Provider Group 26,Professional,Northeast,Commercial,86,45342.53,32817.69,26960.21,25589.38,0.5945898916535977,0.72377280226754,7228.310000000001,0.2824730415508309,Above benchmark
PRV007,Provider Group 07,Professional,South,Commercial,72,38227.66,27895.48,23569.77,20720.52,0.6165632424270803,0.7297197892834664,7174.959999999999,0.346273163028727,Above benchmark
PRV002,Provider Group 02,Professional,Midwest,Commercial,78,41467.83,30302.84,25365.01,23269.31,0.6116792221825931,0.7307553831488168,7033.529999999999,0.30226637575415854,Above benchmark
PRV036,Provider Group 36,Professional,Northeast,Commercial,66,37195.59,26785.41,21539.05,19965.91,0.5790753688810959,0.7201232726782933,6819.5,0.34155718422050385,Above benchmark
PRV009,Provider Group 09,Professional,Northeast,Commercial,68,37999.08,27695.57,23948.06,21032.49,0.6302273633993244,0.7288484352779067,6663.079999999998,0.3167993898962984,Above benchmark
PRV016,Provider Group 16,Inpatient,Northeast,Medicare Advantage,10,105210.65,60990.97,50386.479999999996,54363.09,0.4789104525064715,0.5797033855412926,6627.880000000005,0.12191875038744128,In range
PRV038,Provider Group 38,Professional,South,Commercial,75,38547.99,27107.32,23277.47,20540.32,0.6038569066765869,0.7032096874571152,6567.0,0.3197126432304852,Above benchmark
PRV006,Provider Group 06,Professional,West,Commercial,76,37289.340000000004,26923.49,22617.77,20357.75,0.6065478766854012,0.7220157288919568,6565.740000000002,0.322517959990667,Above benchmark
PRV033,Provider Group 33,Inpatient,Midwest,Exchange,5,46363.58,30868.719999999998,27269.129999999997,24320.73,0.5881584208984724,0.6657967309685748,6547.989999999998,0.2692349283923631,Above benchmark
PRV004,Provider Group 04,Emergency,South,Commercial,15,41005.09,29206.8,22671.38,22688.16,0.5528918483046862,0.7122725495786011,6518.639999999999,0.287314616963209,Above benchmark
PRV010,Provider Group 10,Professional,Midwest,Commercial,81,40827.78,29407.18,24872.32,22928.66,0.6092008921376573,0.7202737939706739,6478.52,0.2825511826683286,Above benchmark
PRV020,Provider Group 20,Professional,South,Commercial,68,40418.26,29011.43,24099.87,22542.39,0.5962619370551824,0.7177802804969833,6469.040000000001,0.28697223320153725,Above benchmark
PRV028,Provider Group 28,Professional,Northeast,Commercial,85,37067.98,26842.51,22933.78,20380.47,0.6186951649375012,0.7241427776749636,6462.039999999997,0.3170702147693354,Above benchmark
PRV017,Provider Group 17,Outpatient,South,Exchange,18,51301.1,33787.33,21359.88,27328.67,0.4163630019629209,0.6586082949488413,6458.6600000000035,0.23633275969888048,Above benchmark
PRV025,Provider Group 25,Professional,South,Commercial,71,37036.8,26554.22,21781.93,20174.11,0.5881158739415931,0.716968528598583,6380.110000000001,0.3162523650361776,Above benchmark
PRV035,Provider Group 35,Professional,South,Commercial,76,36849.83,26668.8,22663.920000000002,20307.14,0.6150345876765239,0.7237156860696508,6361.66,0.31327208065734513,Above benchmark
PRV011,Provider Group 11,Emergency,Midwest,Commercial,12,36901.49,26105.04,19880.16,19792.84,0.5387359697399753,0.7074250931330958,6312.200000000001,0.31891330400286166,Above benchmark
PRV008,Provider Group 08,Professional,South,Commercial,71,36151.42,25838.39,20963.85,19541.36,0.5798900845388646,0.7147268350731452,6297.029999999999,0.3222411336774922,Above benchmark
