provider_identifier,provider_role,provider_source,patient_count,claim_count,claim_line_count,unique_service_count,attributable_cost_basis_total,average_cost_per_claim,average_cost_per_patient,provider_volume_percentile,provider_cost_percentile
0010000624,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008890181,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008888997,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889737,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008888923,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000143,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889034,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000217,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889108,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000587,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008890218,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000328,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000550,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889848,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889071,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000661,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000772,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889700,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000883,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889774,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000994,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889885,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008890033,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010001253,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008890144,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889293,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889515,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889811,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000809,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000513,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000476,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889367,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889478,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010001031,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010001327,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889441,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889589,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889626,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000846,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008890107,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000180,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889256,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889404,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010001105,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889996,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889145,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000365,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000222,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000074,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000777,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000814,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000148,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000592,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000259,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000444,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000962,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000555,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000370,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000185,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000111,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010001073,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010001221,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000296,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000666,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000703,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000851,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010001332,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010001110,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010001184,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000629,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000481,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000333,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000037,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010001295,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000925,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010001258,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000888,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010001147,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000999,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010001036,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000740,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000407,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000518,prescribing,careTeam.provider,1,1,1,1,0.0,0.0,0.0,0.994475138121547,0.5966850828729282
0010000334,prescribing,careTeam.provider,1,1,1,1,7.5,7.5,7.5,0.994475138121547,0.6132596685082873
0010001148,prescribing,careTeam.provider,1,1,1,1,7.5,7.5,7.5,0.994475138121547,0.6132596685082873
0010000741,prescribing,careTeam.provider,1,1,1,1,7.5,7.5,7.5,0.994475138121547,0.6132596685082873
0010000371,prescribing,careTeam.provider,1,1,1,1,8.8,8.8,8.8,0.994475138121547,0.6298342541436464
0010000778,prescribing,careTeam.provider,1,1,1,1,8.8,8.8,8.8,0.994475138121547,0.6298342541436464
0010001185,prescribing,careTeam.provider,1,1,1,1,8.8,8.8,8.8,0.994475138121547,0.6298342541436464
0010000408,prescribing,careTeam.provider,1,1,1,1,10.1,10.1,10.1,0.994475138121547,0.6464088397790055
0010000815,prescribing,careTeam.provider,1,1,1,1,10.1,10.1,10.1,0.994475138121547,0.6464088397790055
0010001222,prescribing,careTeam.provider,1,1,1,1,10.1,10.1,10.1,0.994475138121547,0.6464088397790055
0010000038,prescribing,careTeam.provider,1,1,1,1,11.4,11.4,11.4,0.994475138121547,0.6685082872928176
0010001259,prescribing,careTeam.provider,1,1,1,1,11.4,11.4,11.4,0.994475138121547,0.6685082872928176
0010000852,prescribing,careTeam.provider,1,1,1,1,11.4,11.4,11.4,0.994475138121547,0.6685082872928176
0010000445,prescribing,careTeam.provider,1,1,1,1,11.4,11.4,11.4,0.994475138121547,0.6685082872928176
0010000482,prescribing,careTeam.provider,1,1,1,1,12.7,12.7,12.7,0.994475138121547,0.6906077348066298
0010000889,prescribing,careTeam.provider,1,1,1,1,12.7,12.7,12.7,0.994475138121547,0.6906077348066298
0010001296,prescribing,careTeam.provider,1,1,1,1,12.7,12.7,12.7,0.994475138121547,0.6906077348066298
0010000075,prescribing,careTeam.provider,1,1,1,1,12.7,12.7,12.7,0.994475138121547,0.6906077348066298
0010001333,prescribing,careTeam.provider,1,1,1,1,14.0,14.0,14.0,0.994475138121547,0.712707182320442
0010000926,prescribing,careTeam.provider,1,1,1,1,14.0,14.0,14.0,0.994475138121547,0.712707182320442
0010000112,prescribing,careTeam.provider,1,1,1,1,14.0,14.0,14.0,0.994475138121547,0.712707182320442
0010000519,prescribing,careTeam.provider,1,1,1,1,14.0,14.0,14.0,0.994475138121547,0.712707182320442
0010000705,prescribing,careTeam.provider,1,1,1,1,15.0,15.0,15.0,0.994475138121547,0.7292817679558011
0010000298,prescribing,careTeam.provider,1,1,1,1,15.0,15.0,15.0,0.994475138121547,0.7292817679558011
0010001112,prescribing,careTeam.provider,1,1,1,1,15.0,15.0,15.0,0.994475138121547,0.7292817679558011
0010000963,prescribing,careTeam.provider,1,1,1,1,15.3,15.3,15.3,0.994475138121547,0.7458563535911602
0010000149,prescribing,careTeam.provider,1,1,1,1,15.3,15.3,15.3,0.994475138121547,0.7458563535911602
0010000556,prescribing,careTeam.provider,1,1,1,1,15.3,15.3,15.3,0.994475138121547,0.7458563535911602
0010000186,prescribing,careTeam.provider,1,1,1,1,16.6,16.6,16.6,0.994475138121547,0.7624309392265194
0010001000,prescribing,careTeam.provider,1,1,1,1,16.6,16.6,16.6,0.994475138121547,0.7624309392265194
0010000593,prescribing,careTeam.provider,1,1,1,1,16.6,16.6,16.6,0.994475138121547,0.7624309392265194
0010000742,prescribing,careTeam.provider,1,1,1,1,17.6,17.6,17.6,0.994475138121547,0.7790055248618785
0010000335,prescribing,careTeam.provider,1,1,1,1,17.6,17.6,17.6,0.994475138121547,0.7790055248618785
0010001149,prescribing,careTeam.provider,1,1,1,1,17.6,17.6,17.6,0.994475138121547,0.7790055248618785
0010001037,prescribing,careTeam.provider,1,1,1,1,17.9,17.9,17.9,0.994475138121547,0.7955801104972375
0010000630,prescribing,careTeam.provider,1,1,1,1,17.9,17.9,17.9,0.994475138121547,0.7955801104972375
0010000223,prescribing,careTeam.provider,1,1,1,1,17.9,17.9,17.9,0.994475138121547,0.7955801104972375
0010001074,prescribing,careTeam.provider,1,1,1,1,19.2,19.2,19.2,0.994475138121547,0.8121546961325967
0010000260,prescribing,careTeam.provider,1,1,1,1,19.2,19.2,19.2,0.994475138121547,0.8121546961325967
0010000667,prescribing,careTeam.provider,1,1,1,1,19.2,19.2,19.2,0.994475138121547,0.8121546961325967
0010000372,prescribing,careTeam.provider,1,1,1,1,20.2,20.2,20.2,0.994475138121547,0.8287292817679558
0010000779,prescribing,careTeam.provider,1,1,1,1,20.2,20.2,20.2,0.994475138121547,0.8287292817679558
0010001186,prescribing,careTeam.provider,1,1,1,1,20.2,20.2,20.2,0.994475138121547,0.8287292817679558
0010001111,prescribing,careTeam.provider,1,1,1,1,20.5,20.5,20.5,0.994475138121547,0.8453038674033149
0010000704,prescribing,careTeam.provider,1,1,1,1,20.5,20.5,20.5,0.994475138121547,0.8453038674033149
0010000297,prescribing,careTeam.provider,1,1,1,1,20.5,20.5,20.5,0.994475138121547,0.8453038674033149
0010000816,prescribing,careTeam.provider,1,1,1,1,22.8,22.8,22.8,0.994475138121547,0.861878453038674
0010001223,prescribing,careTeam.provider,1,1,1,1,22.8,22.8,22.8,0.994475138121547,0.861878453038674
0010000409,prescribing,careTeam.provider,1,1,1,1,22.8,22.8,22.8,0.994475138121547,0.861878453038674
0010000039,prescribing,careTeam.provider,1,1,1,1,25.4,25.4,25.4,0.994475138121547,0.8839779005524862
0010001260,prescribing,careTeam.provider,1,1,1,1,25.4,25.4,25.4,0.994475138121547,0.8839779005524862
0010000853,prescribing,careTeam.provider,1,1,1,1,25.4,25.4,25.4,0.994475138121547,0.8839779005524862
0010000446,prescribing,careTeam.provider,1,1,1,1,25.4,25.4,25.4,0.994475138121547,0.8839779005524862
0010000483,prescribing,careTeam.provider,1,1,1,1,28.0,28.0,28.0,0.994475138121547,0.9060773480662984
0010000076,prescribing,careTeam.provider,1,1,1,1,28.0,28.0,28.0,0.994475138121547,0.9060773480662984
0010000890,prescribing,careTeam.provider,1,1,1,1,28.0,28.0,28.0,0.994475138121547,0.9060773480662984
0010001297,prescribing,careTeam.provider,1,1,1,1,28.0,28.0,28.0,0.994475138121547,0.9060773480662984
0010001334,prescribing,careTeam.provider,1,1,1,1,30.6,30.6,30.6,0.994475138121547,0.9281767955801105
0010000520,prescribing,careTeam.provider,1,1,1,1,30.6,30.6,30.6,0.994475138121547,0.9281767955801105
0010000113,prescribing,careTeam.provider,1,1,1,1,30.6,30.6,30.6,0.994475138121547,0.9281767955801105
0010000927,prescribing,careTeam.provider,1,1,1,1,30.6,30.6,30.6,0.994475138121547,0.9281767955801105
0010000557,prescribing,careTeam.provider,1,1,1,1,33.2,33.2,33.2,0.994475138121547,0.9447513812154696
0010000150,prescribing,careTeam.provider,1,1,1,1,33.2,33.2,33.2,0.994475138121547,0.9447513812154696
0010000964,prescribing,careTeam.provider,1,1,1,1,33.2,33.2,33.2,0.994475138121547,0.9447513812154696
0010000594,prescribing,careTeam.provider,1,1,1,1,35.8,35.8,35.8,0.994475138121547,0.9613259668508287
0010000187,prescribing,careTeam.provider,1,1,1,1,35.8,35.8,35.8,0.994475138121547,0.9613259668508287
0010001001,prescribing,careTeam.provider,1,1,1,1,35.8,35.8,35.8,0.994475138121547,0.9613259668508287
0010000631,prescribing,careTeam.provider,1,1,1,1,38.4,38.4,38.4,0.994475138121547,0.9779005524861878
0010000224,prescribing,careTeam.provider,1,1,1,1,38.4,38.4,38.4,0.994475138121547,0.9779005524861878
0010001038,prescribing,careTeam.provider,1,1,1,1,38.4,38.4,38.4,0.994475138121547,0.9779005524861878
0010000261,prescribing,careTeam.provider,1,1,1,1,41.0,41.0,41.0,0.994475138121547,0.994475138121547
0010000668,prescribing,careTeam.provider,1,1,1,1,41.0,41.0,41.0,0.994475138121547,0.994475138121547
0010001075,prescribing,careTeam.provider,1,1,1,1,41.0,41.0,41.0,0.994475138121547,0.994475138121547
Organization/outpatient-provider-1,,ExplanationOfBenefit.provider.reference,18,18,36,2,5977.880000000001,332.1044444444445,332.1044444444445,1.0,1.0
