provider_id,provider_name,service_category,baseline_paid_amount,simulated_paid_amount,baseline_benchmark_variance,simulated_benchmark_variance,member_months,total_claims,dollar_impact,percent_impact,pmpm_impact,benchmark_variance_impact,scenario_name,risk_rank,scenario_type
PRV019,Provider Group 19,Inpatient,278050.89,291953.43450000003,41398.3,57450.10000000002,9592,50,13902.544500000018,0.050000000000000065,1.4493895433694766,16051.800000000017,Reimbursement rate change +5%,18,rate_change
PRV007,Provider Group 07,Inpatient,276235.6,290047.38,48844.22,64687.170500000015,9561,45,13811.780000000028,0.05000000000000011,1.4445957535822642,15842.950500000014,Reimbursement rate change +5%,19,rate_change
PRV018,Provider Group 18,Inpatient,272146.29,285753.6045,48694.35,64153.18900000001,9543,44,13607.314500000037,0.05000000000000014,1.4258948443885608,15458.839000000014,Reimbursement rate change +5%,20,rate_change
PRV003,Provider Group 03,Inpatient,262253.31,275365.9755,44261.94,59097.39600000001,9564,55,13112.665500000003,0.05000000000000001,1.3710440715181935,14835.456000000006,Reimbursement rate change +5%,21,rate_change
PRV016,Provider Group 16,Inpatient,260332.0,273348.6,50256.85,65027.83400000001,9574,53,13016.599999999977,0.04999999999999991,1.3595780238144952,14770.984000000011,Reimbursement rate change +5%,22,rate_change
PRV035,Provider Group 35,Inpatient,259439.97999999998,272411.979,36882.329999999994,51831.59400000001,9445,48,12971.99900000001,0.050000000000000044,1.3734249867654855,14949.264000000017,Reimbursement rate change +5%,23,rate_change
PRV005,Provider Group 05,Inpatient,258998.18,271948.08900000004,40193.87,54731.991000000016,9452,50,12949.909000000043,0.05000000000000017,1.3700707786711852,14538.121000000014,Reimbursement rate change +5%,24,rate_change
PRV014,Provider Group 14,Inpatient,254592.37,267321.98850000004,43707.31,58142.18700000001,9576,50,12729.61850000004,0.05000000000000016,1.329325240183797,14434.877000000015,Reimbursement rate change +5%,25,rate_change
PRV040,Provider Group 40,Inpatient,249893.75,262388.4375,51110.439999999995,65044.627000000015,9580,46,12494.6875,0.05,1.3042471294363256,13934.18700000002,Reimbursement rate change +5%,26,rate_change
PRV013,Provider Group 13,Inpatient,247863.57,260256.74850000002,36276.09,50255.58300000001,9588,55,12393.178500000009,0.05000000000000004,1.2925718085106392,13979.493000000017,Reimbursement rate change +5%,27,rate_change
PRV008,Provider Group 08,Inpatient,246361.28,258679.344,29976.99,43954.926000000014,9542,41,12318.064000000013,0.05000000000000005,1.2909310417103346,13977.936000000012,Reimbursement rate change +5%,28,rate_change
PRV021,Provider Group 21,Inpatient,243098.94,255253.88700000002,45020.29000000001,58810.65500000001,9595,59,12154.947000000015,0.05000000000000006,1.26680010422095,13790.365000000005,Reimbursement rate change +5%,29,rate_change
PRV032,Provider Group 32,Inpatient,241691.06999999998,253775.6235,40400.88,54182.98700000001,9591,49,12084.553500000009,0.050000000000000044,1.2599888958398509,13782.10700000001,Reimbursement rate change +5%,30,rate_change
PRV031,Provider Group 31,Inpatient,241368.36000000002,253436.77800000002,43393.48,57089.49900000002,9607,50,12068.418000000005,0.05000000000000002,1.2562108878942444,13696.019000000015,Reimbursement rate change +5%,31,rate_change
PRV015,Provider Group 15,Inpatient,229400.91,240870.9555,32043.150000000005,44941.61300000002,9589,46,11470.045500000007,0.05000000000000003,1.196167014287205,12898.463000000014,Reimbursement rate change +5%,32,rate_change
PRV030,Provider Group 30,Inpatient,223864.96,235058.208,48583.72,61343.729000000014,9595,43,11193.248000000021,0.0500000000000001,1.1665709223553957,12760.009000000013,Reimbursement rate change +5%,33,rate_change
PRV023,Provider Group 23,Inpatient,223464.53,234637.75650000002,39010.25,51741.26200000002,9570,44,11173.226500000019,0.050000000000000086,1.1675262800417991,12731.012000000017,Reimbursement rate change +5%,34,rate_change
PRV006,Provider Group 06,Inpatient,221242.38,232304.499,50288.94,62853.67150000001,9604,38,11062.119000000006,0.050000000000000024,1.1518241357767602,12564.731500000009,Reimbursement rate change +5%,35,rate_change
PRV027,Provider Group 27,Inpatient,219946.11000000002,230943.4155,33677.159999999996,46221.40250000001,9569,44,10997.305499999988,0.04999999999999994,1.1492638206709151,12544.242500000015,Reimbursement rate change +5%,36,rate_change
PRV033,Provider Group 33,Inpatient,207620.47,218001.4935,46282.32,58011.13550000001,9326,42,10381.02350000001,0.05000000000000005,1.1131271177353645,11728.815500000012,Reimbursement rate change +5%,37,rate_change
PRV022,Provider Group 22,Inpatient,204240.66,214452.69300000003,37026.57,48661.15400000002,9551,36,10212.033000000025,0.05000000000000012,1.0692108679719428,11634.584000000017,Reimbursement rate change +5%,38,rate_change
PRV037,Provider Group 37,Inpatient,191901.28,201496.344,42437.35,53397.21600000001,9586,41,9595.064000000013,0.050000000000000065,1.0009455455873162,10959.866000000009,Reimbursement rate change +5%,39,rate_change
PRV028,Provider Group 28,Inpatient,177132.61,185989.2405,23534.04,33546.68400000001,9446,36,8856.630500000028,0.05000000000000016,0.9376064471734097,10012.644000000008,Reimbursement rate change +5%,40,rate_change
PRV004,Provider Group 04,Outpatient,175281.42,184045.491,50784.28,61012.30750000001,9498,93,8764.070999999996,0.049999999999999975,0.922728048010107,10228.027500000011,Reimbursement rate change +5%,41,rate_change
PRV017,Provider Group 17,Outpatient,170629.29,179160.7545,24865.27,34688.58050000001,9536,129,8531.464500000002,0.05000000000000001,0.894658609479866,9823.31050000001,Reimbursement rate change +5%,42,rate_change
PRV029,Provider Group 29,Outpatient,158543.01,166470.1605,14153.54,23207.09150000001,9551,128,7927.150499999989,0.049999999999999926,0.8299812061564222,9053.551500000009,Reimbursement rate change +5%,43,rate_change
PRV018,Provider Group 18,Outpatient,150775.55,158314.3275,21586.070000000003,30158.34550000001,9598,111,7538.777500000026,0.050000000000000176,0.7854529589497838,8572.275500000007,Reimbursement rate change +5%,44,rate_change
PRV020,Provider Group 20,Outpatient,143634.42,150816.141,22613.620000000003,30776.284000000007,9605,110,7181.72099999999,0.049999999999999926,0.7477065070275888,8162.664000000004,Reimbursement rate change +5%,45,rate_change
PRV001,Provider Group 01,Outpatient,141486.48,148560.804,18599.17,26538.572000000007,9535,115,7074.323999999993,0.04999999999999995,0.7419322496067114,7939.402000000009,Reimbursement rate change +5%,46,rate_change
PRV007,Provider Group 07,Outpatient,141076.36000000002,148130.178,21638.87,29618.38950000001,9607,105,7053.817999999999,0.04999999999999999,0.7342373269490995,7979.519500000009,Reimbursement rate change +5%,47,rate_change
PRV006,Provider Group 06,Outpatient,140839.31,147881.27550000002,22767.23,30694.297500000004,9581,122,7041.96550000002,0.05000000000000014,0.7349927460599124,7927.067500000005,Reimbursement rate change +5%,48,rate_change
PRV025,Provider Group 25,Outpatient,140221.17,147232.2285,17303.07,25226.056000000008,9511,113,7011.058499999985,0.049999999999999885,0.7371526127641662,7922.986000000008,Reimbursement rate change +5%,49,rate_change
PRV024,Provider Group 24,Outpatient,135488.75,142263.1875,20031.55,27730.34800000001,9556,116,6774.4375,0.05,0.708919788614483,7698.79800000001,Reimbursement rate change +5%,50,rate_change
PRV023,Provider Group 23,Outpatient,135086.6,141840.93,26594.850000000002,34239.97600000001,9584,121,6754.329999999987,0.049999999999999906,0.7047506260434043,7645.1260000000075,Reimbursement rate change +5%,51,rate_change
PRV009,Provider Group 09,Outpatient,134039.1,140741.05500000002,16314.15,23852.045500000007,9538,109,6701.955000000016,0.05000000000000012,0.7026583141119749,7537.895500000008,Reimbursement rate change +5%,52,rate_change
PRV011,Provider Group 11,Outpatient,133136.46,139793.283,23137.59,30717.405000000006,9596,113,6656.823000000004,0.05000000000000003,0.6937081075448107,7579.815000000006,Reimbursement rate change +5%,53,rate_change
PRV010,Provider Group 10,Outpatient,129386.07,135855.37350000002,20010.32,27340.254000000008,9575,109,6469.303500000009,0.050000000000000065,0.6756452741514369,7329.934000000008,Reimbursement rate change +5%,54,rate_change
PRV035,Provider Group 35,Outpatient,129216.14,135676.94700000001,13173.100000000002,20498.046000000006,9578,112,6460.807000000015,0.05000000000000012,0.6745465650448962,7324.946000000004,Reimbursement rate change +5%,55,rate_change
PRV038,Provider Group 38,Outpatient,128372.37,134790.9885,27993.4,35290.74500000001,9546,116,6418.618500000011,0.05000000000000009,0.6723882778126976,7297.345000000008,Reimbursement rate change +5%,56,rate_change
PRV012,Provider Group 12,Outpatient,126159.66,132467.643,19732.92,26921.834000000006,9600,110,6307.983000000007,0.05000000000000006,0.6570815625000008,7188.914000000008,Reimbursement rate change +5%,57,rate_change
PRV026,Provider Group 26,Outpatient,124313.39,130529.0595,14747.869999999999,21780.647000000008,9578,105,6215.669500000004,0.05000000000000003,0.6489527563165591,7032.777000000009,Reimbursement rate change +5%,58,rate_change
PRV039,Provider Group 39,Outpatient,124281.15,130495.2075,12598.199999999999,19658.050000000003,9586,109,6214.05750000001,0.05000000000000008,0.6482430106405185,7059.850000000004,Reimbursement rate change +5%,59,rate_change
PRV014,Provider Group 14,Outpatient,124038.67,130240.6035,18931.06,25908.338000000007,9596,105,6201.933499999999,0.049999999999999996,0.6463040329303876,6977.278000000006,Reimbursement rate change +5%,60,rate_change
PRV040,Provider Group 40,Outpatient,123131.75,129288.33750000001,18750.28,25779.457000000006,9606,116,6156.587500000009,0.05000000000000007,0.640910628773684,7029.177000000007,Reimbursement rate change +5%,61,rate_change
PRV027,Provider Group 27,Outpatient,121339.6,127406.58,19523.8,26350.054000000004,9525,119,6066.979999999996,0.04999999999999996,0.6369532808398946,6826.254000000004,Reimbursement rate change +5%,62,rate_change
PRV002,Provider Group 02,Outpatient,120305.01,126320.2605,17291.87,24191.223500000007,9607,106,6015.250500000009,0.05000000000000008,0.6261320391381294,6899.353500000008,Reimbursement rate change +5%,63,rate_change
PRV036,Provider Group 36,Outpatient,119971.08,125969.634,17067.13,23882.827000000005,9587,99,5998.554000000004,0.05000000000000003,0.625696672577449,6815.697000000004,Reimbursement rate change +5%,64,rate_change
PRV034,Provider Group 34,Outpatient,119391.99,125361.5895,15685.339999999998,22541.892000000003,9527,108,5969.599499999997,0.04999999999999997,0.6265980371575519,6856.552000000005,Reimbursement rate change +5%,65,rate_change
PRV030,Provider Group 30,Outpatient,118931.86,124878.45300000001,17565.100000000002,24327.84500000001,9612,115,5946.593000000008,0.050000000000000065,0.6186634415314199,6762.745000000006,Reimbursement rate change +5%,66,rate_change
PRV022,Provider Group 22,Outpatient,116422.6,122243.73000000001,22195.87,28802.959500000004,9547,115,5821.130000000005,0.05000000000000004,0.6097339478370174,6607.0895000000055,Reimbursement rate change +5%,67,rate_change
PRV028,Provider Group 28,Outpatient,116227.49,122038.86450000001,18237.21,24803.285500000005,9522,108,5811.374500000005,0.050000000000000044,0.6103102814534768,6566.075500000006,Reimbursement rate change +5%,68,rate_change
PRV008,Provider Group 08,Outpatient,114807.38,120547.74900000001,19312.02,25827.845000000005,9597,103,5740.369000000006,0.05000000000000005,0.5981420235490263,6515.825000000004,Reimbursement rate change +5%,69,rate_change
PRV005,Provider Group 05,Outpatient,108127.03,113533.3815,13696.36,19862.689500000004,9601,98,5406.351500000004,0.05000000000000004,0.5631029580252062,6166.3295000000035,Reimbursement rate change +5%,70,rate_change
PRV032,Provider Group 32,Outpatient,107619.3,113000.265,15385.5,21429.026000000005,9586,124,5380.9649999999965,0.04999999999999997,0.5613358022115582,6043.526000000005,Reimbursement rate change +5%,71,rate_change
PRV015,Provider Group 15,Outpatient,105828.5,111119.925,17223.6,23197.764500000005,9568,103,5291.425000000003,0.05000000000000003,0.5530335493311039,5974.164500000006,Reimbursement rate change +5%,72,rate_change
PRV037,Provider Group 37,Outpatient,105304.24,110569.452,16948.219999999998,22915.724500000004,9575,99,5265.2119999999995,0.049999999999999996,0.549891592689295,5967.504500000006,Reimbursement rate change +5%,73,rate_change
PRV021,Provider Group 21,Outpatient,98913.7,103859.38500000001,16283.95,21846.811500000007,9565,118,4945.685000000012,0.05000000000000013,0.5170606377417681,5562.861500000006,Reimbursement rate change +5%,74,rate_change
PRV003,Provider Group 03,Outpatient,98354.17,103271.8785,16384.3,21962.438500000004,9562,89,4917.708500000008,0.05000000000000008,0.514297061284251,5578.138500000005,Reimbursement rate change +5%,75,rate_change
PRV013,Provider Group 13,Outpatient,93305.1,97970.35500000001,15065.82,20346.624500000005,9613,111,4665.255000000005,0.050000000000000044,0.48530687610527456,5280.804500000006,Reimbursement rate change +5%,76,rate_change
PRV019,Provider Group 19,Outpatient,93109.5,97764.975,11493.190000000002,16758.811500000007,9584,98,4655.475000000006,0.050000000000000065,0.4857549040066784,5265.621500000005,Reimbursement rate change +5%,77,rate_change
PRV033,Provider Group 33,Outpatient,92744.95999999999,97382.208,14333.54,19622.060500000003,9594,103,4637.248000000007,0.05000000000000008,0.4833487596414433,5288.520500000002,Reimbursement rate change +5%,78,rate_change
PRV031,Provider Group 31,Outpatient,89901.95,94397.0475,10906.289999999999,16004.212000000005,9538,106,4495.0975000000035,0.05000000000000004,0.47128302579157094,5097.922000000006,Reimbursement rate change +5%,79,rate_change
PRV016,Provider Group 16,Outpatient,89425.51,93896.7855,14049.99,19126.260000000002,9593,93,4471.275500000003,0.05000000000000004,0.4660977275096428,5076.270000000002,Reimbursement rate change +5%,80,rate_change
PRV025,Provider Group 25,Emergency,84413.61,88634.2905,16691.050000000003,21442.352500000005,9562,52,4220.680500000002,0.050000000000000024,0.44140143275465404,4751.302500000002,Reimbursement rate change +5%,81,rate_change
PRV039,Provider Group 39,Emergency,84131.2,88337.76000000001,14564.54,19304.551000000007,9446,55,4206.560000000012,0.05000000000000015,0.4453271225915744,4740.011000000006,Reimbursement rate change +5%,82,rate_change
PRV007,Provider Group 07,Emergency,78919.58,82865.55900000001,14886.119999999999,19388.582500000004,9542,48,3945.9790000000066,0.050000000000000086,0.4135379375393006,4502.462500000005,Reimbursement rate change +5%,83,rate_change
PRV029,Provider Group 29,Emergency,71479.39,75053.3595,10426.890000000001,14468.205500000004,9501,52,3573.9695000000065,0.05000000000000009,0.3761677191874546,4041.3155000000024,Reimbursement rate change +5%,84,rate_change
PRV001,Provider Group 01,Emergency,70253.33,73765.99650000001,12037.64,16002.971000000003,9563,40,3512.6665000000066,0.05000000000000009,0.3673184670082617,3965.3310000000038,Reimbursement rate change +5%,85,rate_change
PRV009,Provider Group 09,Emergency,69379.93,72848.9265,15552.559999999998,19447.452500000003,9472,51,3468.9965000000084,0.05000000000000013,0.3662369615709468,3894.8925000000054,Reimbursement rate change +5%,86,rate_change
PRV026,Provider Group 26,Emergency,69264.3,72727.515,12366.999999999998,16301.018500000002,9521,49,3463.2149999999965,0.04999999999999995,0.3637448797395228,3934.0185000000038,Reimbursement rate change +5%,87,rate_change
PRV040,Provider Group 40,Emergency,69148.02,72605.421,13255.74,17249.807500000003,9603,45,3457.400999999998,0.04999999999999997,0.3600334270540454,3994.067500000003,Reimbursement rate change +5%,88,rate_change
PRV028,Provider Group 28,Emergency,67538.29,70915.2045,9090.119999999999,12966.237500000003,9491,50,3376.9145000000135,0.050000000000000204,0.35580175956169147,3876.117500000004,Reimbursement rate change +5%,89,rate_change
PRV003,Provider Group 03,Emergency,67205.53,70565.8065,10538.44,14322.843500000004,9566,52,3360.276500000007,0.05000000000000011,0.351272893581435,3784.403500000004,Reimbursement rate change +5%,90,rate_change
PRV017,Provider Group 17,Emergency,64058.72,67261.656,9910.460000000001,13697.919000000005,9451,39,3202.9360000000015,0.050000000000000024,0.3388991641096182,3787.4590000000044,Reimbursement rate change +5%,91,rate_change
PRV034,Provider Group 34,Emergency,64006.55,67206.8775,9158.100000000002,12787.490000000005,9511,49,3200.3274999999994,0.04999999999999999,0.3364869624645147,3629.390000000003,Reimbursement rate change +5%,92,rate_change
PRV018,Provider Group 18,Emergency,62887.47,66031.8435,6629.9400000000005,10191.849500000004,9556,44,3144.3735000000015,0.050000000000000024,0.3290470385098369,3561.9095000000034,Reimbursement rate change +5%,93,rate_change
PRV035,Provider Group 35,Emergency,61666.02,64749.321,11532.08,15044.366500000002,9543,45,3083.3010000000068,0.050000000000000114,0.323095567431626,3512.286500000002,Reimbursement rate change +5%,94,rate_change
PRV005,Provider Group 05,Emergency,59247.57,62209.9485,12565.17,15921.184500000003,9482,43,2962.378499999999,0.04999999999999998,0.3124212718835688,3356.014500000003,Reimbursement rate change +5%,95,rate_change
PRV016,Provider Group 16,Emergency,59057.13,62009.9865,16751.82,20121.656500000005,9602,45,2952.8565000000017,0.05000000000000003,0.3075251510102064,3369.836500000005,Reimbursement rate change +5%,96,rate_change
PRV012,Provider Group 12,Emergency,57468.84,60342.28200000001,14131.02,17378.319500000005,9523,44,2873.44200000001,0.050000000000000176,0.3017370576499013,3247.2995000000046,Reimbursement rate change +5%,97,rate_change
PRV020,Provider Group 20,Emergency,57197.97,60057.868500000004,13598.64,16850.589500000002,9557,43,2859.898500000003,0.05000000000000005,0.29924646855707887,3251.9495000000024,Reimbursement rate change +5%,98,rate_change
PRV011,Provider Group 11,Emergency,56057.06,58859.91300000001,7958.400000000001,11172.257000000005,9494,44,2802.85300000001,0.05000000000000018,0.295223614914684,3213.8570000000045,Reimbursement rate change +5%,99,rate_change
PRV030,Provider Group 30,Emergency,55008.42,57758.841,9286.5,12437.284000000003,9525,42,2750.421000000002,0.05000000000000004,0.28875811023622067,3150.7840000000033,Reimbursement rate change +5%,100,rate_change
PRV027,Provider Group 27,Emergency,54661.53,57394.6065,11158.800000000001,14230.218500000003,9561,45,2733.076500000003,0.05000000000000005,0.2858567618449956,3071.4185000000016,Reimbursement rate change +5%,101,rate_change
PRV002,Provider Group 02,Emergency,53923.16,56619.318,7952.7,11044.162500000002,9499,43,2696.157999999996,0.04999999999999992,0.2838359827350243,3091.4625000000024,Reimbursement rate change +5%,102,rate_change
PRV038,Provider Group 38,Emergency,53814.35,56505.067500000005,3482.050000000001,6515.186500000004,9552,42,2690.717500000006,0.050000000000000114,0.2816915305695149,3033.1365000000033,Reimbursement rate change +5%,103,rate_change
PRV022,Provider Group 22,Emergency,53699.94,56384.937000000005,9262.960000000001,12400.481500000004,9597,44,2684.997000000003,0.05000000000000005,0.279774617067834,3137.5215000000026,Reimbursement rate change +5%,104,rate_change
PRV036,Provider Group 36,Emergency,53390.31,56059.825500000006,12440.710000000001,15496.998000000003,9580,40,2669.5155000000086,0.05000000000000016,0.27865506263048107,3056.2880000000023,Reimbursement rate change +5%,105,rate_change
PRV037,Provider Group 37,Emergency,53265.15,55928.4075,9892.94,12969.464500000002,9543,44,2663.2574999999997,0.049999999999999996,0.2790796919207796,3076.5245000000014,Reimbursement rate change +5%,106,rate_change
PRV024,Provider Group 24,Emergency,53105.53,55760.8065,7088.98,10101.036500000002,9529,40,2655.2765,0.05,0.2786521670689474,3012.0565000000024,Reimbursement rate change +5%,107,rate_change
PRV004,Provider Group 04,Emergency,53043.13,55695.2865,2760.0099999999993,5774.942500000001,9483,40,2652.1565000000046,0.050000000000000086,0.2796748391859121,3014.9325000000017,Reimbursement rate change +5%,108,rate_change
PRV023,Provider Group 23,Emergency,52365.14,54983.397,11852.83,14815.021500000003,9511,40,2618.256999999998,0.04999999999999996,0.2752872463463356,2962.1915000000026,Reimbursement rate change +5%,109,rate_change
PRV019,Provider Group 19,Emergency,52072.07,54675.673500000004,9248.66,12216.260000000004,9585,43,2603.6035000000047,0.05000000000000009,0.2716331246739702,2967.600000000004,Reimbursement rate change +5%,110,rate_change
PRV004,Provider Group 04,Professional,50438.35,52960.2675,8429.99,11290.875500000002,9572,133,2521.917500000003,0.050000000000000065,0.26346818846636055,2860.885500000002,Reimbursement rate change +5%,111,rate_change
PRV018,Provider Group 18,Professional,50403.19,52923.349500000004,7294.58,10162.179500000002,9582,147,2520.1595000000016,0.05000000000000003,0.26300975787935726,2867.599500000002,Reimbursement rate change +5%,112,rate_change
PRV032,Provider Group 32,Emergency,50224.28,52735.494,10217.44,13090.341500000002,9557,44,2511.214,0.05,0.2627617453175683,2872.9015000000018,Reimbursement rate change +5%,113,rate_change
PRV006,Provider Group 06,Emergency,49837.65,52329.5325,10699.21,13507.872500000003,9516,43,2491.8824999999997,0.049999999999999996,0.2618623896595208,2808.662500000004,Reimbursement rate change +5%,114,rate_change
PRV008,Provider Group 08,Emergency,49460.73,51933.766500000005,11043.01,13893.290500000003,9518,38,2473.036500000002,0.05000000000000004,0.25982732716957363,2850.2805000000026,Reimbursement rate change +5%,115,rate_change
PRV033,Provider Group 33,Emergency,49357.9,51825.795000000006,8871.429999999998,11673.7275,9456,49,2467.895000000004,0.05000000000000008,0.2609872038917094,2802.2975000000024,Reimbursement rate change +5%,116,rate_change
PRV014,Provider Group 14,Emergency,49319.69,51785.6745,13161.05,15931.622500000001,9553,48,2465.9844999999987,0.04999999999999997,0.25813718203705627,2770.572500000002,Reimbursement rate change +5%,117,rate_change
PRV010,Provider Group 10,Emergency,48637.77,51069.6585,7757.979999999999,10488.927000000001,9468,42,2431.888500000001,0.050000000000000024,0.2568534537389101,2730.947000000003,Reimbursement rate change +5%,118,rate_change
PRV017,Provider Group 17,Professional,47390.03,49759.531500000005,7229.25,9969.914500000003,9599,139,2369.5015000000058,0.05000000000000012,0.24684878633191018,2740.6645000000026,Reimbursement rate change +5%,119,rate_change
PRV021,Provider Group 21,Emergency,46387.62,48707.001000000004,7534.45,10159.632000000001,9546,50,2319.381000000001,0.050000000000000024,0.24296888749214343,2625.1820000000016,Reimbursement rate change +5%,120,rate_change
PRV029,Provider Group 29,Professional,46034.73,48336.4665,2855.63,5486.185500000002,9559,167,2301.736499999999,0.049999999999999975,0.2407926038288523,2630.555500000002,Reimbursement rate change +5%,121,rate_change
PRV013,Provider Group 13,Emergency,45861.32,48154.386000000006,11534.289999999999,14201.7455,9547,41,2293.066000000006,0.050000000000000135,0.24018707447365728,2667.455500000002,Reimbursement rate change +5%,122,rate_change
PRV026,Provider Group 26,Professional,45828.07,48119.4735,6946.64,9541.717000000002,9612,163,2291.4035000000003,0.05000000000000001,0.2383898772367874,2595.077000000002,Reimbursement rate change +5%,123,rate_change
PRV002,Provider Group 02,Professional,45492.71,47767.3455,7186.72,9782.305500000002,9588,161,2274.635500000004,0.050000000000000086,0.23723774509803963,2595.585500000002,Reimbursement rate change +5%,124,rate_change
PRV010,Provider Group 10,Professional,45131.72,47388.306000000004,6413.94,8995.683500000001,9561,164,2256.586000000003,0.050000000000000065,0.236019872398285,2581.7435000000014,Reimbursement rate change +5%,125,rate_change
PRV034,Provider Group 34,Professional,44463.18,46686.339,5649.27,8157.692500000002,9597,150,2223.1589999999997,0.04999999999999999,0.23165145357924347,2508.4225000000015,Reimbursement rate change +5%,126,rate_change
PRV001,Provider Group 01,Professional,44230.340000000004,46441.857,6531.929999999999,9033.454000000002,9582,150,2211.517,0.04999999999999999,0.23079910248382382,2501.524000000002,Reimbursement rate change +5%,127,rate_change
PRV005,Provider Group 05,Professional,44161.29,46369.3545,4529.7,7047.600000000002,9609,179,2208.0645000000004,0.05000000000000001,0.22979128941617238,2517.9000000000024,Reimbursement rate change +5%,128,rate_change
PRV012,Provider Group 12,Professional,43412.37,45582.9885,6861.33,9331.451000000003,9552,152,2170.618499999997,0.049999999999999926,0.2272423052763816,2470.121000000003,Reimbursement rate change +5%,129,rate_change
PRV009,Provider Group 09,Professional,42927.19,45073.5495,6480.91,8929.254000000003,9580,147,2146.3594999999987,0.04999999999999997,0.2240458768267222,2448.344000000003,Reimbursement rate change +5%,130,rate_change
PRV020,Provider Group 20,Professional,42530.82,44657.361000000004,6887.450000000001,9290.041000000003,9595,145,2126.5410000000047,0.050000000000000114,0.22163011985409117,2402.591000000002,Reimbursement rate change +5%,131,rate_change
PRV036,Provider Group 36,Professional,42299.58,44414.559,6082.509999999999,8480.692500000001,9578,152,2114.9789999999994,0.04999999999999998,0.22081634996867816,2398.1825000000017,Reimbursement rate change +5%,132,rate_change
PRV008,Provider Group 08,Professional,41337.37,43404.2385,6152.25,8499.037000000002,9496,162,2066.868499999997,0.04999999999999992,0.21765675021061467,2346.787000000002,Reimbursement rate change +5%,133,rate_change
