provider_id,provider_name,service_category,baseline_paid_amount,simulated_paid_amount,baseline_benchmark_variance,simulated_benchmark_variance,member_months,total_claims,dollar_impact,percent_impact,pmpm_impact,benchmark_variance_impact,scenario_name,risk_rank,affected_provider_flag,scenario_type
PRV028,Provider Group 28,Pharmacy,12622.53,12622.53,2892.03,2892.03,9523,71,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV028,Provider Group 28,Professional,39295.86,39295.86,7442.16,7442.16,9586,161,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV030,Provider Group 30,Emergency,55008.42,55008.42,9286.5,9286.5,9525,42,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV030,Provider Group 30,Imaging,15596.880000000001,15596.880000000001,2165.5099999999998,2165.5099999999998,9530,35,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV030,Provider Group 30,Inpatient,223864.96,223864.96,48583.72,48583.72,9595,43,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV027,Provider Group 27,Outpatient,121339.6,121339.6,19523.8,19523.8,9525,119,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV027,Provider Group 27,Imaging,22884.25,22884.25,4272.72,4272.72,9537,41,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV026,Provider Group 26,Outpatient,124313.39,124313.39,14747.869999999999,14747.869999999999,9578,105,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV026,Provider Group 26,Professional,45828.07,45828.07,6946.64,6946.64,9612,163,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV022,Provider Group 22,Pharmacy,11854.37,11854.37,1897.79,1897.79,9580,70,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV022,Provider Group 22,Professional,29102.54,29102.54,4654.84,4654.84,9602,123,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV023,Provider Group 23,Emergency,52365.14,52365.14,11852.83,11852.83,9511,40,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV023,Provider Group 23,Imaging,27360.079999999998,27360.079999999998,4259.57,4259.57,9550,48,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV023,Provider Group 23,Inpatient,223464.53,223464.53,39010.25,39010.25,9570,44,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV023,Provider Group 23,Lab,3238.83,3238.83,695.3199999999999,695.3199999999999,9548,37,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV023,Provider Group 23,Outpatient,135086.6,135086.6,26594.850000000002,26594.850000000002,9584,121,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV023,Provider Group 23,Pharmacy,12581.49,12581.49,1767.68,1767.68,9538,71,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV023,Provider Group 23,Professional,31342.12,31342.12,5792.74,5792.74,9571,136,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV024,Provider Group 24,Emergency,53105.53,53105.53,7088.98,7088.98,9529,40,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV024,Provider Group 24,Imaging,18163.05,18163.05,3032.56,3032.56,9464,29,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV024,Provider Group 24,Inpatient,318649.64,318649.64,47372.09,47372.09,9536,44,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV024,Provider Group 24,Lab,2677.05,2677.05,469.73,469.73,9493,30,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV024,Provider Group 24,Outpatient,135488.75,135488.75,20031.55,20031.55,9556,116,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV024,Provider Group 24,Pharmacy,15393.23,15393.23,2535.5400000000004,2535.5400000000004,9493,74,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV024,Provider Group 24,Professional,35855.07,35855.07,5485.65,5485.65,9588,134,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV025,Provider Group 25,Emergency,84413.61,84413.61,16691.050000000003,16691.050000000003,9562,52,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV025,Provider Group 25,Imaging,19101.35,19101.35,1402.72,1402.72,9566,33,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV025,Provider Group 25,Inpatient,289039.02,289039.02,51481.23,51481.23,9555,47,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV025,Provider Group 25,Lab,3597.52,3597.52,456.7199999999999,456.7199999999999,9529,41,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV025,Provider Group 25,Outpatient,140221.17,140221.17,17303.07,17303.07,9511,113,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV025,Provider Group 25,Pharmacy,19231.54,19231.54,2988.8599999999997,2988.8599999999997,9602,99,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV025,Provider Group 25,Professional,39266.27,39266.27,6968.0599999999995,6968.0599999999995,9556,141,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV026,Provider Group 26,Emergency,69264.3,69264.3,12366.999999999998,12366.999999999998,9521,49,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV026,Provider Group 26,Imaging,24174.1,24174.1,3887.14,3887.14,9580,40,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV026,Provider Group 26,Inpatient,282363.18,282363.18,41297.04,41297.04,9487,52,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV026,Provider Group 26,Lab,4580.09,4580.09,631.73,631.73,9529,46,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV030,Provider Group 30,Lab,3079.9900000000002,3079.9900000000002,430.42,430.42,9599,35,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV026,Provider Group 26,Pharmacy,16487.64,16487.64,3144.88,3144.88,9608,80,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV027,Provider Group 27,Emergency,54661.53,54661.53,11158.800000000001,11158.800000000001,9561,45,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV030,Provider Group 30,Outpatient,118931.86,118931.86,17565.100000000002,17565.100000000002,9612,115,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV032,Provider Group 32,Imaging,16312.210000000001,16312.210000000001,2631.31,2631.31,9556,44,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV030,Provider Group 30,Professional,31406.64,31406.64,4990.08,4990.08,9568,130,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV035,Provider Group 35,Pharmacy,13471.16,13471.16,1909.44,1909.44,9523,76,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV035,Provider Group 35,Professional,38160.52,38160.52,6145.99,6145.99,9542,144,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV036,Provider Group 36,Emergency,53390.31,53390.31,12440.710000000001,12440.710000000001,9580,40,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV036,Provider Group 36,Imaging,26998.57,26998.57,3667.7999999999997,3667.7999999999997,9503,47,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV036,Provider Group 36,Inpatient,288424.65,288424.65,55633.01000000001,55633.01000000001,9445,43,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV036,Provider Group 36,Lab,3552.54,3552.54,471.26,471.26,9517,42,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV036,Provider Group 36,Outpatient,119971.08,119971.08,17067.13,17067.13,9587,99,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV036,Provider Group 36,Pharmacy,16853.09,16853.09,2738.01,2738.01,9548,85,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV036,Provider Group 36,Professional,42299.58,42299.58,6082.509999999999,6082.509999999999,9578,152,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV037,Provider Group 37,Emergency,53265.15,53265.15,9892.94,9892.94,9543,44,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV037,Provider Group 37,Imaging,13633.0,13633.0,2341.89,2341.89,9528,30,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV037,Provider Group 37,Inpatient,191901.28,191901.28,42437.35,42437.35,9586,41,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV037,Provider Group 37,Lab,2645.31,2645.31,507.91,507.91,9460,30,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV035,Provider Group 35,Outpatient,129216.14,129216.14,13173.100000000002,13173.100000000002,9578,112,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV037,Provider Group 37,Outpatient,105304.24,105304.24,16948.219999999998,16948.219999999998,9575,99,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV037,Provider Group 37,Professional,31074.41,31074.41,4656.5,4656.5,9562,148,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV038,Provider Group 38,Emergency,53814.35,53814.35,3482.050000000001,3482.050000000001,9552,42,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV038,Provider Group 38,Imaging,23408.39,23408.39,3549.6400000000003,3549.6400000000003,9584,38,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV038,Provider Group 38,Inpatient,312191.36,312191.36,48958.49999999999,48958.49999999999,9573,57,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV038,Provider Group 38,Lab,2719.68,2719.68,619.4,619.4,9466,32,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV038,Provider Group 38,Outpatient,128372.37,128372.37,27993.4,27993.4,9546,116,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV038,Provider Group 38,Pharmacy,12673.85,12673.85,2018.72,2018.72,9535,73,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV038,Provider Group 38,Professional,41175.47,41175.47,7549.379999999999,7549.379999999999,9549,161,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV040,Provider Group 40,Emergency,69148.02,69148.02,13255.74,13255.74,9603,45,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV040,Provider Group 40,Imaging,23667.92,23667.92,3829.56,3829.56,9546,50,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV040,Provider Group 40,Inpatient,249893.75,249893.75,51110.439999999995,51110.439999999995,9580,46,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV040,Provider Group 40,Lab,3496.93,3496.93,383.9,383.9,9507,43,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV040,Provider Group 40,Outpatient,123131.75,123131.75,18750.28,18750.28,9606,116,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV037,Provider Group 37,Pharmacy,14133.18,14133.18,2544.5299999999997,2544.5299999999997,9598,79,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV035,Provider Group 35,Lab,3304.88,3304.88,698.6600000000001,698.6600000000001,9585,31,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV035,Provider Group 35,Inpatient,259439.97999999998,259439.97999999998,36882.329999999994,36882.329999999994,9445,48,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV035,Provider Group 35,Imaging,18627.31,18627.31,2428.76,2428.76,9583,38,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV031,Provider Group 31,Emergency,35030.28,35030.28,3306.3199999999997,3306.3199999999997,9595,34,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV031,Provider Group 31,Imaging,18506.83,18506.83,2900.25,2900.25,9585,45,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV031,Provider Group 31,Inpatient,241368.36000000002,241368.36000000002,43393.48,43393.48,9607,50,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV031,Provider Group 31,Lab,2316.03,2316.03,319.14,319.14,9596,36,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV031,Provider Group 31,Outpatient,89901.95,89901.95,10906.289999999999,10906.289999999999,9538,106,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV031,Provider Group 31,Pharmacy,8288.69,8288.69,1089.13,1089.13,9594,62,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV031,Provider Group 31,Professional,36146.81,36146.81,5059.719999999999,5059.719999999999,9510,169,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV032,Provider Group 32,Emergency,50224.28,50224.28,10217.44,10217.44,9557,44,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV022,Provider Group 22,Outpatient,116422.6,116422.6,22195.87,22195.87,9547,115,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV032,Provider Group 32,Inpatient,241691.06999999998,241691.06999999998,40400.88,40400.88,9591,49,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV032,Provider Group 32,Lab,3172.2799999999997,3172.2799999999997,485.71999999999997,485.71999999999997,9416,40,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV032,Provider Group 32,Outpatient,107619.3,107619.3,15385.5,15385.5,9586,124,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV032,Provider Group 32,Pharmacy,11084.08,11084.08,1841.26,1841.26,9603,69,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV032,Provider Group 32,Professional,30663.29,30663.29,4440.97,4440.97,9602,151,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV033,Provider Group 33,Emergency,49357.9,49357.9,8871.429999999998,8871.429999999998,9456,49,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV033,Provider Group 33,Imaging,14484.039999999999,14484.039999999999,2254.37,2254.37,9540,30,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV033,Provider Group 33,Inpatient,207620.47,207620.47,46282.32,46282.32,9326,42,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV033,Provider Group 33,Lab,2000.04,2000.04,467.90999999999997,467.90999999999997,9474,32,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV033,Provider Group 33,Outpatient,92744.95999999999,92744.95999999999,14333.54,14333.54,9594,103,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV033,Provider Group 33,Pharmacy,14096.74,14096.74,2188.3900000000003,2188.3900000000003,9573,83,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV033,Provider Group 33,Professional,36265.86,36265.86,5564.24,5564.24,9599,156,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV034,Provider Group 34,Emergency,64006.55,64006.55,9158.100000000002,9158.100000000002,9511,49,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV034,Provider Group 34,Imaging,14920.220000000001,14920.220000000001,1375.3700000000001,1375.3700000000001,9581,28,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV034,Provider Group 34,Inpatient,344443.55,344443.55,64271.6,64271.6,9591,58,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV034,Provider Group 34,Lab,2804.63,2804.63,410.52000000000004,410.52000000000004,9464,37,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV034,Provider Group 34,Outpatient,119391.99,119391.99,15685.339999999998,15685.339999999998,9527,108,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV034,Provider Group 34,Pharmacy,13533.8,13533.8,2177.9100000000003,2177.9100000000003,9507,77,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV034,Provider Group 34,Professional,44463.18,44463.18,5649.27,5649.27,9597,150,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV035,Provider Group 35,Emergency,61666.02,61666.02,11532.08,11532.08,9543,45,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV030,Provider Group 30,Pharmacy,7860.94,7860.94,1064.6699999999998,1064.6699999999998,9584,53,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV022,Provider Group 22,Lab,1822.51,1822.51,181.68000000000004,181.68000000000004,9456,23,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV020,Provider Group 20,Professional,42530.82,42530.82,6887.450000000001,6887.450000000001,9595,145,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV022,Provider Group 22,Imaging,18793.88,18793.88,2993.5600000000004,2993.5600000000004,9584,45,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
